poiID,poiCat,poiLon,poiLat,catID
0,Amusement,135.4289382878105,34.65479175959366,0
1,Amusement,135.4306267944665,34.65614490909093,0
2,Amusement,135.50855763940035,34.65242308514182,0
3,Amusement,135.4336271953132,34.66475830078134,0
4,Amusement,135.4998940285709,34.703680330158626,0
5,Amusement,135.49013254999943,34.705322627272615,0
6,Park,135.50696077664924,34.69266442131975,1
7,Park,135.52582424865906,34.68653437337396,1
8,Park,135.48880599999998,34.612893,1
9,Park,135.51043665534092,34.65104219417449,1
10,Park,135.49385408196719,34.68545975409837,1
11,Park,135.52128527777776,34.61132941666667,1
12,Historical,135.5164392663755,34.65409199563325,2
13,Historical,135.49256448076923,34.612657000000006,2
14,Historical,135.52994,34.677756666666674,2
15,Historical,135.51246823934412,34.695621363934485,2
16,Entertainment,135.4796296190476,34.66778380952381,3
17,Entertainment,135.5009323832682,34.66742997665371,3
18,Entertainment,135.500556111111,34.67239257239053,3
19,Entertainment,135.5061961355934,34.652166481840126,3
20,Entertainment,135.50561435294117,34.660004392156864,3
21,Entertainment,135.49807975999988,34.67208495200003,3
22,Entertainment,135.48224743939394,34.72006954545454,3
23,Entertainment,139.76896139828057,35.675154257879626,3
24,Entertainment,135.501092,34.65772466666667,3
25,Entertainment,135.50244797297296,34.70325674324324,3
26,Entertainment,135.50583799999998,34.644641,3
